Year,Country,Region,Commodity,Commodity_Group,Supply_Chain_Stage,Loss_Percentage,Production_Tonnes_000,Loss_Tonnes_000,Source
2016,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,18.2,92826,16894,FAO SDG 12.3.1
2016,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,12.4,178172,22093,FAO SDG 12.3.1
2016,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.6,283205,24356,FAO SDG 12.3.1
2016,China,East Asia,Vegetables,Fruits and Vegetables,Storage,10.1,589153,59505,FAO SDG 12.3.1
2016,Nigeria,Sub-Saharan Africa,Fruits,Fruits and Vegetables,Post-harvest,30.5,9400,2867,FAO SDG 12.3.1
2016,Brazil,Latin America,Fruits,Fruits and Vegetables,Transport,22.1,40190,8882,FAO SDG 12.3.1
2016,USA,North America,Fruits,Fruits and Vegetables,Retail,9.8,26896,2636,FAO SDG 12.3.1
2016,USA,North America,Vegetables,Fruits and Vegetables,Retail,8.2,36277,2975,FAO SDG 12.3.1
2016,Germany,Europe,Fruits,Fruits and Vegetables,Processing,5.2,5250,273,FAO SDG 12.3.1
2016,Germany,Europe,Vegetables,Fruits and Vegetables,Storage,4.8,4120,198,FAO SDG 12.3.1
2017,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,17.8,97358,17330,FAO SDG 12.3.1
2017,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,12.1,187470,22684,FAO SDG 12.3.1
2017,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.3,296434,24604,FAO SDG 12.3.1
2017,Nigeria,Sub-Saharan Africa,Vegetables,Fruits and Vegetables,Post-harvest,28.7,12500,3588,FAO SDG 12.3.1
2017,Brazil,Latin America,Fruits,Fruits and Vegetables,Transport,21.5,41100,8837,FAO SDG 12.3.1
2017,USA,North America,Fruits,Fruits and Vegetables,Retail,9.5,27110,2576,FAO SDG 12.3.1
2017,Kenya,Sub-Saharan Africa,Fruits,Fruits and Vegetables,Post-harvest,32.8,3900,1279,FAO SDG 12.3.1
2018,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,17.5,99070,17337,FAO SDG 12.3.1
2018,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,11.8,189225,22329,FAO SDG 12.3.1
2018,China,East Asia,Fruits,Fruits and Vegetables,Processing,8.1,305872,24776,FAO SDG 12.3.1
2018,China,East Asia,Vegetables,Fruits and Vegetables,Storage,9.8,601445,58942,FAO SDG 12.3.1
2018,Nigeria,Sub-Saharan Africa,Fruits,Fruits and Vegetables,Post-harvest,29.8,9800,2920,FAO SDG 12.3.1
2018,USA,North America,Fruits,Fruits and Vegetables,Retail,9.2,26500,2438,FAO SDG 12.3.1
2018,Spain,Europe,Fruits,Fruits and Vegetables,Processing,6.1,18200,1110,FAO SDG 12.3.1
2018,Oman,Middle East,Fruits,Fruits and Vegetables,Post-harvest,15.3,363,56,FAO SDG 12.3.1
2019,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,17.2,101530,17463,FAO SDG 12.3.1
2019,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,11.5,191778,22055,FAO SDG 12.3.1
2019,China,East Asia,Fruits,Fruits and Vegetables,Processing,7.9,310446,24525,FAO SDG 12.3.1
2019,Nigeria,Sub-Saharan Africa,Fruits,Fruits and Vegetables,Post-harvest,29.2,10200,2978,FAO SDG 12.3.1
2019,Brazil,Latin America,Fruits,Fruits and Vegetables,Transport,20.8,41800,8694,FAO SDG 12.3.1
2019,USA,North America,Vegetables,Fruits and Vegetables,Retail,7.9,36800,2907,FAO SDG 12.3.1
2020,India,South Asia,Fruits,Fruits and Vegetables,Post-harvest,19.5,102480,19984,FAO SDG 12.3.1
2020,India,South Asia,Vegetables,Fruits and Vegetables,Post-harvest,14.2,194259,27585,FAO SDG 12.3.1
2020,China,East Asia,Fruits,Fruits and Vegetables,Processing,9.2,316460,29114,FAO SDG 12.3.1
2020,USA,North America,Fruits,Fruits and Vegetables,Retail,11.3,26100,2949,FAO SDG 12.3.1
