Year,Country,Region,Avg_Temp_C,Temp_Anomaly_C,Avg_Humidity_Pct,Annual_Precip_mm,Extreme_Heat_Days,Source
2016,India,South Asia,25.2,0.71,68.5,1083,42,NOAA GHCN/CDO
2016,China,East Asia,11.4,0.82,62.1,645,28,NOAA GHCN/CDO
2016,USA,North America,12.8,1.22,65.3,760,35,NOAA GHCN/CDO
2016,Nigeria,Sub-Saharan Africa,27.1,0.65,72.8,1150,58,NOAA GHCN/CDO
2016,Brazil,Latin America,25.0,0.78,76.2,1761,45,NOAA GHCN/CDO
2016,Germany,Europe,9.6,0.85,73.1,700,12,NOAA GHCN/CDO
2016,Oman,Middle East,28.9,0.52,45.2,100,95,NOAA GHCN/CDO
2017,India,South Asia,25.0,0.58,67.8,1070,38,NOAA GHCN/CDO
2017,China,East Asia,11.6,0.95,61.8,650,30,NOAA GHCN/CDO
2017,USA,North America,12.9,1.31,64.8,775,38,NOAA GHCN/CDO
2017,Nigeria,Sub-Saharan Africa,27.0,0.58,71.9,1120,55,NOAA GHCN/CDO
2017,Brazil,Latin America,25.2,0.85,75.8,1720,47,NOAA GHCN/CDO
2017,Oman,Middle East,29.1,0.61,44.8,95,92,NOAA GHCN/CDO
2018,India,South Asia,25.1,0.62,68.1,1090,40,NOAA GHCN/CDO
2018,China,East Asia,11.5,0.88,62.5,660,32,NOAA GHCN/CDO
2018,USA,North America,12.7,1.15,65.0,780,33,NOAA GHCN/CDO
2018,Nigeria,Sub-Saharan Africa,27.2,0.71,72.2,1140,56,NOAA GHCN/CDO
2018,Spain,Europe,15.1,0.72,60.5,550,25,NOAA GHCN/CDO
2018,Oman,Middle East,29.0,0.55,45.5,110,94,NOAA GHCN/CDO
2019,India,South Asia,25.3,0.75,68.8,1095,44,NOAA GHCN/CDO
2019,China,East Asia,11.7,1.02,62.0,655,34,NOAA GHCN/CDO
2019,USA,North America,12.6,1.08,65.5,790,31,NOAA GHCN/CDO
2019,Nigeria,Sub-Saharan Africa,27.3,0.82,72.5,1130,57,NOAA GHCN/CDO
2019,Brazil,Latin America,25.3,0.92,76.0,1740,48,NOAA GHCN/CDO
2020,India,South Asia,25.4,0.85,69.2,1105,46,NOAA GHCN/CDO
2020,China,East Asia,11.8,1.12,62.8,670,36,NOAA GHCN/CDO
2020,USA,North America,13.0,1.42,64.5,755,40,NOAA GHCN/CDO
2020,Nigeria,Sub-Saharan Africa,27.4,0.88,73.0,1160,59,NOAA GHCN/CDO
2020,Oman,Middle East,29.3,0.72,46.1,85,98,NOAA GHCN/CDO
2021,India,South Asia,25.2,0.68,68.5,1088,43,NOAA GHCN/CDO
2021,China,East Asia,11.9,1.18,62.2,665,35,NOAA GHCN/CDO
2021,USA,North America,13.1,1.48,64.2,740,42,NOAA GHCN/CDO
2021,Brazil,Latin America,25.1,0.88,75.5,1700,46,NOAA GHCN/CDO
2022,India,South Asia,25.5,0.92,69.5,1110,48,NOAA GHCN/CDO
2022,China,East Asia,12.0,1.25,61.5,640,40,NOAA GHCN/CDO
2022,USA,North America,13.2,1.55,63.8,720,44,NOAA GHCN/CDO
2022,Nigeria,Sub-Saharan Africa,27.5,0.95,73.5,1170,61,NOAA GHCN/CDO
2022,Oman,Middle East,29.5,0.85,46.8,78,101,NOAA GHCN/CDO
2023,India,South Asia,25.7,1.05,70.0,1125,51,NOAA GHCN/CDO
2023,China,East Asia,12.1,1.32,62.0,650,42,NOAA GHCN/CDO
2023,USA,North America,13.4,1.72,63.5,710,46,NOAA GHCN/CDO
2023,Nigeria,Sub-Saharan Africa,27.6,1.02,74.0,1180,63,NOAA GHCN/CDO
2023,Brazil,Latin America,25.5,1.05,76.5,1780,52,NOAA GHCN/CDO
