Year,Country,Country_Code,Region,LPI_Overall,LPI_Customs,LPI_Infrastructure,LPI_Intl_Shipments,LPI_Logistics_Quality,LPI_Tracking,LPI_Timeliness,Source
2016,Germany,DEU,Europe,4.12,4.12,4.44,3.86,4.28,4.27,4.45,World Bank LPI 2016
2016,USA,USA,North America,3.99,3.75,4.15,3.65,4.01,4.2,4.25,World Bank LPI 2016
2016,China,CHN,East Asia,3.66,3.32,3.75,3.7,3.62,3.68,3.9,World Bank LPI 2016
2016,India,IND,South Asia,3.42,3.17,3.34,3.36,3.39,3.52,3.74,World Bank LPI 2016
2016,Brazil,BRA,Latin America,3.09,2.76,3.11,2.9,3.12,3.28,3.39,World Bank LPI 2016
2016,Nigeria,NGA,Sub-Saharan Africa,2.63,2.46,2.4,2.43,2.74,2.7,3.04,World Bank LPI 2016
2016,Oman,OMN,Middle East,3.23,2.97,3.44,3.15,3.3,3.15,3.38,World Bank LPI 2016
2016,Kenya,KEN,Sub-Saharan Africa,3.33,3.17,3.21,3.24,3.42,3.42,3.54,World Bank LPI 2016
2016,Spain,ESP,Europe,3.73,3.48,3.72,3.63,3.73,3.82,4.0,World Bank LPI 2016
2018,Germany,DEU,Europe,4.2,4.09,4.37,3.86,4.31,4.24,4.39,World Bank LPI 2018
2018,USA,USA,North America,3.89,3.78,4.05,3.51,4.09,4.15,4.08,World Bank LPI 2018
2018,China,CHN,East Asia,3.61,3.29,3.75,3.54,3.59,3.65,3.84,World Bank LPI 2018
2018,India,IND,South Asia,3.18,2.96,2.91,3.21,3.13,3.32,3.5,World Bank LPI 2018
2018,Brazil,BRA,Latin America,2.99,2.41,2.93,2.88,3.09,3.11,3.51,World Bank LPI 2018
2018,Nigeria,NGA,Sub-Saharan Africa,2.53,2.22,2.56,2.52,2.4,2.68,2.81,World Bank LPI 2018
2018,Oman,OMN,Middle East,3.2,2.87,3.16,3.43,3.04,3.19,3.5,World Bank LPI 2018
2023,Germany,DEU,Europe,4.1,3.9,4.3,3.7,4.2,4.1,4.4,World Bank LPI 2023
2023,Singapore,SGP,East Asia,4.3,4.0,4.6,3.9,4.4,4.3,4.5,World Bank LPI 2023
2023,USA,USA,North America,3.8,3.6,4.0,3.4,3.9,4.0,4.1,World Bank LPI 2023
2023,China,CHN,East Asia,3.7,3.4,3.8,3.6,3.7,3.8,3.9,World Bank LPI 2023
2023,India,IND,South Asia,3.4,3.1,3.2,3.3,3.4,3.5,3.7,World Bank LPI 2023
2023,Brazil,BRA,Latin America,3.1,2.8,3.0,2.9,3.1,3.2,3.5,World Bank LPI 2023
2023,Nigeria,NGA,Sub-Saharan Africa,2.7,2.4,2.5,2.6,2.7,2.8,3.0,World Bank LPI 2023
2023,Oman,OMN,Middle East,3.3,3.0,3.5,3.2,3.3,3.2,3.5,World Bank LPI 2023
