Incident_ID,Incident_Date,Publication_Date,Source_Name,Source_Type,Source_Link,Country_of_Origin,Exporting_Country,Importing_Country,Product_Name,Product_Type,Cold_Chain_Type,Temperature_Requirement,Actual_Temperature_Deviation,Shipment_Mode,Vessel_Type,Container_Type,Refrigeration_Technology,Port_of_Origin,Port_of_Destination,Location_of_Failure,Stage_of_Supply_Chain,Cause_of_Spoilage,Failure_Type,Duration_of_Exposure,Quantity_Lost,Economic_Loss_USD,Environmental_Conditions,Monitoring_System,Alert_Response_Action,Insurance_Claim_Status,Regulatory_Findings,Data_Reliability_Score
BPI-2021-001,6/15/2021,4/1/2022,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,,,,Tuna,Seafood,Frozen,-18,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,At Sea,Maritime Transport,Unintentional thawing due to power supply interruption,Power Supply Failure,,12 containers,500000,,,Cargo surveyor requested,Claimed,,High
BPI-2021-002,8/20/2021,4/1/2022,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,,,,Mixed Tropical Fruit,Fruits,Chilled,2,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,In Transit,Maritime Transport,Temperature abuse — cargo loaded above set-point temperature,Pre-cooling Failure,,27 containers,335000,,,,Claimed,,High
BPI-2021-003,5/10/2021,4/1/2022,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,,,,Frozen Shrimps,Seafood,Frozen,-18,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,In Transit,Maritime Transport,Temperature abuse during voyage,Temperature Control Failure,,3 containers,228000,,,,Claimed,,High
BPI-2021-004,9/5/2021,4/1/2022,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,,,,Cherries,Fruits,Chilled,0,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,In Transit,Maritime Transport,Temperature abuse of cherry consignment,Temperature Control Failure,,,92000,,,,Claimed,,High
BPI-2021-005,3/18/2021,4/1/2022,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,,,,Shrimps and Prawns,Seafood,Frozen,-18,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,At Sea,Maritime Transport,Reefer unit mechanical malfunction,Equipment Malfunction,,,58000,,,,Claimed,,High
BPI-2021-006,11/22/2021,4/1/2022,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,,,,Perishable Cargo (unspecified),Mixed Perishables,,,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,In Port,Port Handling,Delay for mechanical repairs causing prolonged temperature exposure,Logistics Delay,,,550000,,,,Claimed,,High
IMO-2024-001,8/9/2024,3/15/2025,China Maritime Safety Administration (CMSA),Maritime Safety Investigation Report,https://safety4sea.com/china-msa-investigation-explosion-aboard-the-ym-mobility/,CN,CN,,tert-Butyl peroxybenzoate (TBPB) in reefer container,Chemical (misuse of reefer container),,,40,Maritime,Container Ship,"Reefer (unplugged, used as dry container)",None (reefer not powered),Ningbo,,"Port of Ningbo, China",Port Storage,Thermal runaway in unplugged reefer — TBPB self-decomposition at ambient 40°C,Container Misuse / Thermal Runaway,,Multiple containers destroyed,13000000,"Extreme summer heat, ambient 40°C",,"Emergency response, port evacuation",Under investigation,Both operator and shipper found responsible,High
SWC-2020-001,4/15/2020,6/1/2021,The Swedish Club,P&I Club Loss Prevention Report,https://www.swedishclub.com/loss-prevention/cargo/container-vessels/,,,,Fresh Produce,Fruits and Vegetables,Chilled,2,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,In Port,Port Handling / Transit Delay,COVID-19 port congestion causing extended delays; reefer containers delayed in port or road/rail transit,Logistics Delay (Pandemic),,,,,,,Claimed (270% surge in reefer claims),,High
SWC-2020-002,7/20/2020,6/1/2021,The Swedish Club,P&I Club Loss Prevention Report,https://www.swedishclub.com/loss-prevention/cargo/container-vessels/,,,,Frozen Meat and Fish,Meat and Seafood,Frozen,-18,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,In Port / Road-Rail Interface,Intermodal Transfer,COVID-19 pandemic delays causing extended exposure; road/rail transport delays to port,Logistics Delay (Pandemic),,,,,,,Claimed,,High
RASFF-2024-001,3/18/2024,3/20/2024,EU RASFF,Rapid Alert System Notification,https://webgate.ec.europa.eu/rasff-window/screen/list,NO,NO,DK,Cold-Smoked Salmon,Seafood,Chilled,2,,Maritime/Road,,Refrigerated Truck/Container,,,,In Transit (Norway to Denmark),Distribution,L. monocytogenes contamination linked to cold chain temperature control failure,Temperature Control Failure,,,,,,RASFF alert notification 2024.2029,,Product recalled,High
RASFF-AGG-001,12/31/2022,1/15/2024,EU RASFF / ScienceDirect (Fish contamination analysis 2000-2022),Academic Analysis of RASFF Database,https://www.sciencedirect.com/science/article/abs/pii/S095671352400121X,ES,ES,,Tuna and Swordfish,Seafood,Chilled,0,,Maritime/Road,,,,,,EU Border Inspection Points,Import/Border Control,Poor temperature control during transport; histamine formation,Temperature Control Failure,,"6808 notifications total (fish) over 2000-2022; 37% rejected at border, 41.1% due to temperature",,,,Border rejection / product destruction,,"Spain most notified origin (14.66%), Vietnam (7.70%), Morocco (5.35%)",High
FAO-2022-001,11/7/2022,11/7/2022,FAO/UNEP Sustainable Food Cold Chains Report 2022,International Organization Report,https://www.unep.org/resources/report/sustainable-food-cold-chains-opportunities-challenges-and-way-forward,,,,All Perishable Foods,Mixed Perishables,Chilled/Frozen,,,All Modes,,,,,,Global (developing countries primary),Post-Harvest to Retail,Lack of cold chain infrastructure; 526 million tonnes lost annually (12% of global production),Infrastructure Gap,,526000000 tonnes annually,9.36E+11,,,,,Developing countries could save 144 million tonnes annually with adequate cold chains,High
WB-NGA-2023-001,6/30/2023,8/15/2023,World Bank / BusinessDay Nigeria,Government/Media Report citing official statistics,https://businessday.ng/agriculture/article/nigeria-can-tackle-n3-5trn-post-harvest-losses-with-effective-cold-chain/,NG,NG,,"Fish, Vegetables, Fruits, Dairy, Root Crops",Mixed Perishables,Chilled/Frozen,,,Road/Local,,,Rudimentary / None,,,Nigeria — post-harvest to market,Post-Harvest Handling and Distribution,Absence of cold chain infrastructure; 30-40 million metric tonnes lost per year,Infrastructure Gap,,30000000-40000000 tonnes/year,4300000000,"Tropical climate, high ambient temperatures",None / Manual,,,N3.5-5 trillion in annual losses,Medium
FAO-ETH-2023-001,1/15/2023,6/1/2023,FAO / Fisheries and Aquatic Sciences Journal,Academic Journal (peer-reviewed),https://www.e-fas.org/archive/view_article?pid=fas-28-1-30,ET,ET,,"Nile Tilapia, African Catfish, Carp",Freshwater Fish,Chilled,0,,Road/Local,,,None / Ice-based,,,Ethiopia — Lake Tana region,Post-Harvest / Local Distribution,"Lack of cold chain; carp 20.09% loss, catfish 17.31%, tilapia 10.8%; overall 33.3% loss",Infrastructure Gap,,33.3% of catch,,Tropical highland,,,,,Medium
FAO-TZA-2022-001,6/30/2022,1/15/2023,FAO Fish Value Chains / Academic Research,International Organization Report,https://www.fao.org/flw-in-fish-value-chains/overview/food-loss-and-waste-in-fish-value-chains/en/,TZ,TZ,,Nile Perch,Freshwater Fish,Chilled,0,,Road/Local,,,Ice-based / None,,,Tanzania — Bagamoyo district / Lake Victoria value chain,Post-Harvest / Processing,"Underdeveloped cold chain; 31% value chain loss (12.1% quality, 18.9% physical); 10% per season spoilage",Infrastructure Gap,,31% of value chain,,Tropical,,,,,Medium
FAO-UGA-2022-001,6/30/2022,1/15/2023,FAO Fish Value Chains,International Organization Report,https://www.fao.org/flw-in-fish-value-chains/overview/food-loss-and-waste-in-fish-value-chains/en/,UG,UG,,Nile Perch (artisanal catch),Freshwater Fish,Chilled,0,,Local/Road,,,None / Ice-based,,,Uganda — Lake Victoria artisanal fisheries,Post-Harvest,Lack of cold chain infrastructure; 25-30% of total catch lost,Infrastructure Gap,,25-30% of catch,,Tropical,,,,,Medium
FAO-MWI-2022-001,12/31/2022,9/1/2020,ScienceDirect / Malawi Fisheries Policy,Academic Journal (peer-reviewed),https://www.sciencedirect.com/science/article/pii/S0305750X14002307,MW,MW,,Freshwater Fish,Freshwater Fish,Chilled,0,,Local/Road,,,Rudimentary / Sun-drying,,,Malawi — nationwide fish value chain,Post-Harvest / Processing,Inadequate cold storage; estimated 40% post-harvest loss,Infrastructure Gap,,40% of harvest,,Tropical / Sub-tropical,,Government policy target to reduce to 20%,,2016 National Fisheries and Aquaculture Policy,Medium
FAO-IDN-2020-001,4/30/2020,3/1/2021,FAO / Indonesia Fishery Product Processing and Marketing Association,International Organization Report,https://www.fao.org/flw-in-fish-value-chains/value-chain/processing-storage/cold-storage/services-infrastructure/en/,ID,ID,,Fishery Products (mixed),Seafood,Chilled/Frozen,,,Maritime/Road,,,,,,Indonesia — nationwide,Processing / Distribution,COVID-19 caused 80% drop in demand; cold storage overwhelmed; fish loss and waste increased significantly,Demand Collapse / Cold Storage Overflow,,,,Tropical,,,,,High
WB-IND-2023-001,6/30/2023,11/1/2021,World Bank Cold Chains in Developing Economies Report,International Organization Report,https://documents1.worldbank.org/curated/en/768601637124616069/pdf/Cold-Chains-in-Developing-Economies-A-Techno-Socio-Economic-Structural-Development-Challenge-Background-Paper.pdf,IN,IN,,"Fresh Produce (fruits, vegetables)",Fruits and Vegetables,Chilled,4,,Road/Rail,,,Insufficient / Fragmented,,,India — post-harvest to market chain,Post-Harvest / Distribution,Inadequate refrigeration and transport; 30-40% of fresh produce lost post-harvest,Infrastructure Gap,,30-40% of fresh produce,,Tropical / Sub-tropical,Limited,Refrigerated warehouse capacity expanded 35% (2020-2024),,,High
FAO-MENA-2023-001,6/30/2023,1/15/2024,Logistics Middle East / FAO Data,Industry Report citing FAO statistics,https://www.logisticsmiddleeast.com/supply-chain/food-logistics-is-the-middle-easts-most-exposed-supply-chain,,,,Temperature-sensitive food produce,Mixed Perishables,Chilled/Frozen,,,Maritime/Road,,,,,,Middle East and North Africa region,Post-Harvest to Retail,Cold chain fragility; 15% of food lost between post-harvest and retail in MENA region,Infrastructure Gap / Handling Failure,,15% of food produced in MENA,,Arid / Hot climate,,,,,Medium
FAO-SOM-YEM-2023-001,6/30/2023,9/25/2023,Maersk/FAO Africa Food Chain Report,Industry Report citing official data,https://www.maersk.com/insights/growth/2023/09/25/africa-food-chain,,,,Fish (marine catch),Seafood,Chilled,0,,Local/Road,,,,,,Somalia and Yemen — landing sites to markets,Post-Harvest,Complete absence of refrigeration; large share of fish spoils before reaching market,No Cold Chain,,,,Hot arid climate,,,,,Medium
US-2022-001,7/15/2022,1/10/2023,Industry Report / Sensitech / FDA,Industry Report,https://www.sensitech.com/en/blog/blog-articles/blog-reducing-loss-cold-chain.html,US,US,US,Fresh Seafood,Seafood,Chilled,0,,Road (cross-country),,Refrigerated Truck,Mechanical Refrigeration,,,United States — cross-country shipment,Road Transport,Refrigeration system malfunction; temperatures rose above safe levels for 6 hours,Equipment Malfunction,6 hours,Total loss of shipment,280000,,,,,,Medium
US-2023-001,9/20/2023,2/1/2024,Industry Report / Food Safety Magazine,Industry Report,https://www.food-safety.com/articles/10664-fda-sampling-finds-one-third-of-imported-ice-glazed-seafood-products-to-be-fraudulent,US,US,US,"Mixed Perishable Products (proteins, dairy)",Mixed Perishables,Chilled/Frozen,,,Storage/Distribution,,Distribution Center Cold Storage,Central Refrigeration System,,,United States — Midwest distribution center,Cold Storage / Distribution,Refrigeration system failure; temperatures rose above safe levels for 8 hours,Equipment Malfunction,8 hours,All perishable inventory disposed,3200000,,,Full inventory disposal,,,Medium
MAR-2021-001,2/17/2021,2/20/2021,FreightWaves / Maersk,Maritime Incident Report,https://www.freightwaves.com/news/260-containers-lost-65-damaged-in-maersk-eindhoven-at-sea-mishap,CN,CN,US,Mixed cargo (including reefer containers),Mixed (including perishables),,,,Maritime,Container Ship (Maersk Eindhoven),Mixed (including 40ft reefers),,"Xiamen, China","Los Angeles, USA",North Pacific Ocean (off Japan coast),Maritime Transport,"Engine failure in severe weather; 260 containers lost overboard, 65 damaged",Vessel Casualty / Severe Weather,,"260 containers lost, 65 damaged",,"Severe weather, heavy seas",,Vessel diverted,Claimed,,High
EU-IND-2023-001,12/31/2023,6/1/2024,The Fish Site / EU RASFF,Regulatory Agency Data,https://thefishsite.com/articles/indias-shrimp-exports-hit-by-eu-rejections,IN,IN,,Shrimp,Seafood,Frozen,-18,,Maritime,Container Ship,Reefer Container,,,,EU border inspection points,Import/Border Control,Antibiotic residues + temperature control violations; 50% inspection failure rate in 2023,Quality Control Failure / Contamination,,,,,,100% pre-export testing required; 50% import testing,,EU intensified testing maintained into 2024,High
GEO-2024-001,1/15/2024,2/1/2024,Seatrade Maritime / DHL Reefer Market Update,Industry Report,https://www.dhl.com/content/dam/dhl/global/dhl-global-forwarding/documents/pdf/dhl-dgf-ofr-reefer-market-update.pdf,,,,Perishable Goods (various),Mixed Perishables,Chilled/Frozen,,,Maritime,Container Ship,Reefer Container,Integral Reefer Unit,,,Red Sea / Suez Canal route,Maritime Transport,Red Sea conflict forced rerouting via Cape of Good Hope; extended transit times increasing spoilage risk for perishables,Geopolitical Disruption / Extended Transit,Additional 10-14 days transit,,,,,CMA CGM Emergency Operation Surcharge: $1200-2000/container,,MSC and CMA CGM suspended Red Sea transits,High
FAO-SSA-2024-001,6/30/2024,3/15/2024,Wiley / Aquaculture Fish and Fisheries Journal (Abelti 2024),Academic Journal (peer-reviewed),https://onlinelibrary.wiley.com/doi/10.1002/aff2.168,,,,Fish and Seafood (artisanal),Seafood,Chilled,0,,Local/Road,,,None / Rudimentary,,,Sub-Saharan Africa — multiple countries,Post-Harvest,Underdeveloped cold chains; 25%+ of fish harvest lost post-harvest; 35% lost at post-harvest level; quality losses 20-40%,Infrastructure Gap,,25-35% of fish harvest,,Tropical,,,,600 million people in SSA lack regular electricity access,High
ALZ-2023-001,12/31/2023,10/1/2023,Allianz Safety and Shipping Review 2023,Insurance Industry Report,https://www.seatrade-maritime.com/containers/dangerous-cargoes-and-container-ship-fires-back-in-the-spotlight,,,,Mixed cargo (reefer containers involved),Mixed,,,,Maritime,Container Ship,Mixed (including reefer),,,,Global — at sea,Maritime Transport,Container fires; 64 fires on containerships in 5 years; one fire every 9 days in 2023; often originating with hazardous or misdeclared cargo including reefer containers,Fire / Container Casualty,,64 fires over 5 years,,,,New SOLAS mandatory container loss reporting effective Jan 2026,,TT Club estimates serious fire every 60 days,High
ACAD-KOR-2025-001,12/31/2024,2/15/2025,Nature Scientific Reports,Academic Journal (peer-reviewed),https://www.nature.com/articles/s41598-025-13156-3,KR,KR,,Fruits,Fruits,Chilled,2,,Road/Distribution,,Refrigerated Truck,Mechanical Refrigeration,,,South Korea — transport/distribution chain,Transport / Distribution,"Cold chain losses in transport/distribution; 20.8% loss rate overall, 35% for fruits",Temperature Control Failure,,35% of fruit in transport,,,,,,,High
IND-EA-2025-001,12/31/2024,8/19/2025,Maersk Insights / East Africa Agricultural Logistics,Industry Report,https://www.maersk.com/insights/growth/2025/08/19/agricultural-logistics-in-east-africa,TZ,TZ,,Agricultural exports (horticultural products),Fruits and Vegetables,Chilled,4,,Maritime,Container Ship,Reefer Container,,Dar es Salaam,,East Africa — inland to port cold chain,Inland Transport / Port Handling,Unreliable inland cold chain networks despite port upgrades; timing and inspection scheduling weaknesses,Infrastructure Gap / Logistics Delay,,,,Tropical,,Dar es Salaam and Mtwara ports upgraded refrigerated storage,,,Medium
ACAD-TUR-2022-001,12/31/2022,1/15/2020,PMC / Food Safety in MENA (peer-reviewed),Academic Journal (peer-reviewed),https://pmc.ncbi.nlm.nih.gov/articles/PMC6982137/,TR,TR,,"Milk, Meat, Vegetable Oils",Dairy and Meat,Chilled,4,,Road,,,,,,Turkey — domestic supply chain,Processing / Distribution,Over 4000 food fraud incidents (7000+ adulteration cases) documented 2012-2022 including temperature abuse of perishables,Quality Control Failure / Fraud,,4000+ incidents,,,,,,,Medium
IND-STR-2022-001,6/15/2022,10/1/2022,IDENTEC Solutions / Cold Chain Industry Report,Industry Report,https://www.identecsolutions.com/news/container-damage-claim-and-the-cold-chain,,,,Strawberries,Fruits,Chilled,0 to 2,,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,,,Global — maritime transport routes (COVID-era),Maritime Transport,COVID-19 spike in reefer container damage claims due to global transport delays; equipment failures and seal deterioration,Equipment Failure / Logistics Delay,,,,,Manual (1-2 checks per shift),,,,Medium
