Incident_ID,Incident_Date,Publication_Date,Source_Name,Source_Type,Source_Link,Country_of_Origin,Exporting_Country,Importing_Country,Product_Name,Product_Type,Cold_Chain_Type,Temperature_Requirement,Actual_Temperature_Deviation,Shipment_Mode,Vessel_Type,Container_Type,Refrigeration_Technology,Port_of_Origin,Port_of_Destination,Location_of_Failure,Stage_of_Supply_Chain,Cause_of_Spoilage,Failure_Type,Duration_of_Exposure,Quantity_Lost,Economic_Loss_USD,Environmental_Conditions,Monitoring_System,Alert_Response_Action,Insurance_Claim_Status,Regulatory_Findings,Data_Reliability_Score,Year,Month,Quarter,Economic_Loss_Numeric,Risk_Score
BPI-2021-001,2021-06-15,2022-04-01,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,NA,NA,NA,Tuna,Seafood,Frozen,-18,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,At Sea,Maritime Transport,Unintentional thawing due to power supply interruption,Power Supply Failure,NA,12 containers,500000,NA,NA,Cargo surveyor requested,Claimed,NA,High,2021,6,2,505,6
BPI-2021-002,2021-08-20,2022-04-01,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,NA,NA,NA,Mixed Tropical Fruit,Fruits,Chilled,2,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,In Transit,Maritime Transport,Temperature abuse — cargo loaded above set-point temperature,Pre-cooling Failure,NA,27 containers,335000,NA,NA,NA,Claimed,NA,High,2021,8,3,335000,6
BPI-2021-003,2021-05-10,2022-04-01,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,NA,NA,NA,Frozen Shrimps,Seafood,Frozen,-18,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,In Transit,Maritime Transport,Temperature abuse during voyage,Temperature Control Failure,NA,3 containers,228000,NA,NA,NA,Claimed,NA,High,2021,5,2,228000,7
BPI-2021-004,2021-09-05,2022-04-01,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,NA,NA,NA,Cherries,Fruits,Chilled,0,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,In Transit,Maritime Transport,Temperature abuse of cherry consignment,Temperature Control Failure,NA,NA,92000,NA,NA,NA,Claimed,NA,High,2021,9,3,92000,5
BPI-2021-005,2021-03-18,2022-04-01,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,NA,NA,NA,Shrimps and Prawns,Seafood,Frozen,-18,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,At Sea,Maritime Transport,Reefer unit mechanical malfunction,Equipment Malfunction,NA,NA,58000,NA,NA,NA,Claimed,NA,High,2021,3,1,58000,6
BPI-2021-006,2021-11-22,2022-04-01,Britannia P&I Club,P&I Club Loss Prevention Report,https://britanniapandi.com/2022/04/refrigerated-container-cargo-claims/,NA,NA,NA,Perishable Cargo (unspecified),Mixed Perishables,NA,NA,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,In Port,Port Handling,Delay for mechanical repairs causing prolonged temperature exposure,Logistics Delay,NA,NA,550000,NA,NA,NA,Claimed,NA,High,2021,11,4,550000,NA
IMO-2024-001,2024-08-09,2025-03-15,China Maritime Safety Administration (CMSA),Maritime Safety Investigation Report,https://safety4sea.com/china-msa-investigation-explosion-aboard-the-ym-mobility/,CN,CN,NA,tert-Butyl peroxybenzoate (TBPB) in reefer container,Chemical (misuse of reefer container),NA,NA,40,Maritime,Container Ship,"Reefer (unplugged, used as dry container)",None (reefer not powered),Ningbo,NA,"Port of Ningbo, China",Port Storage,Thermal runaway in unplugged reefer — TBPB self-decomposition at ambient 40°C,Container Misuse / Thermal Runaway,NA,Multiple containers destroyed,13000000,"Extreme summer heat, ambient 40°C",NA,"Emergency response, port evacuation",Under investigation,Both operator and shipper found responsible,High,2024,8,3,1.307,NA
SWC-2020-001,2020-04-15,2021-06-01,The Swedish Club,P&I Club Loss Prevention Report,https://www.swedishclub.com/loss-prevention/cargo/container-vessels/,NA,NA,NA,Fresh Produce,Fruits and Vegetables,Chilled,2,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,In Port,Port Handling / Transit Delay,COVID-19 port congestion causing extended delays; reefer containers delayed in port or road/rail transit,Logistics Delay (Pandemic),NA,NA,NA,NA,NA,NA,Claimed (270% surge in reefer claims),NA,High,2020,4,2,NA,4
SWC-2020-002,2020-07-20,2021-06-01,The Swedish Club,P&I Club Loss Prevention Report,https://www.swedishclub.com/loss-prevention/cargo/container-vessels/,NA,NA,NA,Frozen Meat and Fish,Meat and Seafood,Frozen,-18,NA,Maritime,Container Ship,40ft Reefer,Integral Reefer Unit,NA,NA,In Port / Road-Rail Interface,Intermodal Transfer,COVID-19 pandemic delays causing extended exposure; road/rail transport delays to port,Logistics Delay (Pandemic),NA,NA,NA,NA,NA,NA,Claimed,NA,High,2020,7,3,NA,5
RASFF-2024-001,2024-03-18,2024-03-20,EU RASFF,Rapid Alert System Notification,https://webgate.ec.europa.eu/rasff-window/screen/list,NO,NO,DK,Cold-Smoked Salmon,Seafood,Chilled,2,NA,Maritime/Road,NA,Refrigerated Truck/Container,NA,NA,NA,In Transit (Norway to Denmark),Distribution,L. monocytogenes contamination linked to cold chain temperature control failure,Temperature Control Failure,NA,NA,NA,NA,NA,RASFF alert notification 2024.2029,NA,Product recalled,High,2024,3,1,NA,4
